Station Name,Time Period,Avg Daily Entries,December_21_2024,Season
West Hyattsville,PM Peak (3pm-7pm),0.5K,December_21_2024,Winter
West Falls Church,PM Peak (3pm-7pm),0.2K,December_21_2024,Winter
Waterfront,PM Peak (3pm-7pm),1.3K,December_21_2024,Winter
Virginia Sq-GMU,PM Peak (3pm-7pm),0.7K,December_21_2024,Winter
Vienna,PM Peak (3pm-7pm),0.6K,December_21_2024,Winter
Van Ness-UDC,PM Peak (3pm-7pm),1.2K,December_21_2024,Winter
Van Dorn Street,PM Peak (3pm-7pm),0.2K,December_21_2024,Winter
Union Station,PM Peak (3pm-7pm),6.7K,December_21_2024,Winter
U Street,PM Peak (3pm-7pm),1.5K,December_21_2024,Winter
Tysons,PM Peak (3pm-7pm),1.1K,December_21_2024,Winter
Twinbrook,PM Peak (3pm-7pm),0.6K,December_21_2024,Winter
Tenleytown-AU,PM Peak (3pm-7pm),2.1K,December_21_2024,Winter
Takoma,PM Peak (3pm-7pm),1.2K,December_21_2024,Winter
Suitland,PM Peak (3pm-7pm),0.4K,December_21_2024,Winter
Stadium-Armory,PM Peak (3pm-7pm),0.7K,December_21_2024,Winter
Spring Hill,PM Peak (3pm-7pm),0.2K,December_21_2024,Winter
Southern Ave,PM Peak (3pm-7pm),0.3K,December_21_2024,Winter
Smithsonian,PM Peak (3pm-7pm),2.2K,December_21_2024,Winter
Silver Spring,PM Peak (3pm-7pm),1.7K,December_21_2024,Winter
Shaw-Howard U,PM Peak (3pm-7pm),1.6K,December_21_2024,Winter
Shady Grove,PM Peak (3pm-7pm),0.9K,December_21_2024,Winter
Rosslyn,PM Peak (3pm-7pm),3.8K,December_21_2024,Winter
Ronald Reagan Washington National Airport,PM Peak (3pm-7pm),1.9K,December_21_2024,Winter
Rockville,PM Peak (3pm-7pm),0.6K,December_21_2024,Winter
Rhode Island Ave,PM Peak (3pm-7pm),1.1K,December_21_2024,Winter
Reston Town Center,PM Peak (3pm-7pm),0.4K,December_21_2024,Winter
Potomac Yard,PM Peak (3pm-7pm),0.5K,December_21_2024,Winter
Potomac Ave,PM Peak (3pm-7pm),0.6K,December_21_2024,Winter
Pentagon City,PM Peak (3pm-7pm),2.8K,December_21_2024,Winter
Pentagon,PM Peak (3pm-7pm),4.9K,December_21_2024,Winter
North Bethesda,PM Peak (3pm-7pm),0.6K,December_21_2024,Winter
NoMa-Gallaudet U,PM Peak (3pm-7pm),4.5K,December_21_2024,Winter
New Carrollton,PM Peak (3pm-7pm),0.5K,December_21_2024,Winter
Naylor Road,PM Peak (3pm-7pm),0.2K,December_21_2024,Winter
Navy Yard-Ballpark,PM Peak (3pm-7pm),3.6K,December_21_2024,Winter
